nGroups,groupSize,whichGroup,testFrom,testTo,esspi,mean
2,8,1,6,4,1.024656,0.000500
2,8,1,6,5,NaN,0.000000
2,8,1,6,6,NaN,0.000000
2,8,1,6,7,NaN,0.000000
2,8,1,7,0,NaN,0.000000
2,8,1,7,1,NaN,0.000000
2,8,1,7,2,0.402066,0.003000
2,8,1,7,3,0.880848,0.375000
2,8,1,7,4,1.149909,0.331500
2,8,1,7,5,1.035640,0.275500
2,8,1,7,6,0.617318,0.015000
2,8,1,7,7,NaN,0.000000
2,9,0,0,0,1.024656,0.000500
2,9,0,0,1,0.232591,0.018500
2,9,0,0,2,0.663514,0.439500
2,9,0,0,3,0.683195,0.298500
2,9,0,0,4,0.747588,0.243000
2,9,0,0,5,NaN,0.000000
2,9,0,0,6,NaN,0.000000
2,9,0,0,7,NaN,0.000000
2,9,0,0,8,NaN,0.000000
2,9,0,1,0,NaN,0.000000
2,9,0,1,1,NaN,0.000000
2,9,0,1,2,NaN,0.000000
2,9,0,1,3,NaN,0.000000
2,9,0,1,4,NaN,0.000000
2,9,0,1,5,0.604382,0.011000
2,9,0,1,6,0.498094,0.636500
2,9,0,1,7,0.602865,0.274000
2,9,0,1,8,0.773782,0.078500
2,9,0,2,0,0.128861,0.739500
2,9,0,2,1,0.160533,0.237500
2,9,0,2,2,0.140015,0.018000
2,9,0,2,3,0.341219,0.001500
2,9,0,2,4,0.351194,0.003500
2,9,0,2,5,NaN,0.000000
2,9,0,2,6,NaN,0.000000
2,9,0,2,7,NaN,0.000000
2,9,0,2,8,NaN,0.000000
2,9,0,3,0,NaN,0.000000
2,9,0,3,1,NaN,0.000000
2,9,0,3,2,NaN,0.000000
2,9,0,3,3,NaN,0.000000
2,9,0,3,4,NaN,0.000000
2,9,0,3,5,0.346844,0.982000
2,9,0,3,6,0.251155,0.015500
2,9,0,3,7,0.625568,0.001500
2,9,0,3,8,1.047974,0.001000
2,9,0,4,0,NaN,0.000000
2,9,0,4,1,NaN,0.000000
2,9,0,4,2,NaN,0.000000
2,9,0,4,3,NaN,0.000000
2,9,0,4,4,NaN,0.000000
2,9,0,4,5,NaN,0.000000
2,9,0,4,6,0.386736,0.021000
2,9,0,4,7,0.577515,0.235500
2,9,0,4,8,0.589556,0.743500
2,9,0,5,0,NaN,0.000000
2,9,0,5,1,NaN,0.000000
2,9,0,5,2,NaN,0.000000
2,9,0,5,3,NaN,0.000000
2,9,0,5,4,NaN,0.000000
2,9,0,5,5,0.241121,0.007000
2,9,0,5,6,0.515796,0.327000
2,9,0,5,7,0.665318,0.489000
2,9,0,5,8,0.567396,0.177000
2,9,0,6,0,0.125259,0.256500
2,9,0,6,1,0.133744,0.723500
2,9,0,6,2,0.219967,0.013000
2,9,0,6,3,0.313894,0.005000
2,9,0,6,4,0.708959,0.002000
2,9,0,6,5,NaN,0.000000
2,9,0,6,6,NaN,0.000000
2,9,0,6,7,NaN,0.000000
2,9,0,6,8,NaN,0.000000
2,9,0,7,0,1.047974,0.001000
2,9,0,7,1,0.524478,0.006000
2,9,0,7,2,0.616419,0.235000
2,9,0,7,3,0.518249,0.344000
2,9,0,7,4,0.674783,0.414000
2,9,0,7,5,NaN,0.000000
2,9,0,7,6,NaN,0.000000
2,9,0,7,7,NaN,0.000000
2,9,0,7,8,NaN,0.000000
2,9,0,8,0,0.478690,0.002500
2,9,0,8,1,0.569610,0.014500
2,9,0,8,2,0.925558,0.294500
2,9,0,8,3,0.941880,0.351000
2,9,0,8,4,1.102820,0.337500
2,9,0,8,5,NaN,0.000000
2,9,0,8,6,NaN,0.000000
2,9,0,8,7,NaN,0.000000
2,9,0,8,8,NaN,0.000000
2,9,1,0,0,0.128861,0.739500
2,9,1,0,1,0.160533,0.237500
2,9,1,0,2,0.140015,0.018000
2,9,1,0,3,0.341219,0.001500
2,9,1,0,4,0.351194,0.003500
2,9,1,0,5,NaN,0.000000
2,9,1,0,6,NaN,0.000000
2,9,1,0,7,NaN,0.000000
2,9,1,0,8,NaN,0.000000
2,9,1,1,0,NaN,0.000000
2,9,1,1,1,NaN,0.000000
2,9,1,1,2,NaN,0.000000
2,9,1,1,3,NaN,0.000000
2,9,1,1,4,NaN,0.000000
2,9,1,1,5,0.346844,0.982000
2,9,1,1,6,0.251155,0.015500
2,9,1,1,7,0.625568,0.001500
2,9,1,1,8,1.047974,0.001000
