index_0,sample,value
1,33,0.03212829459027566
2,33,0.33672036404878614
3,33,0.3586959941137559
0,34,0.4031861735795925
1,34,0.634227919959531
2,34,0.7941778947767717
3,34,0.0773569317587646
0,35,0.5192645347290837
1,35,0.06297093778689666
2,35,0.2836102057279161
3,35,0.84636606826261
0,36,0.7636028141863215
1,36,0.4084053353033399
2,36,0.6611833862798573
3,36,0.2892961035187976
0,37,0.41174493626902275
1,37,0.46334738636521666
2,37,0.8493670041734205
3,37,0.22654321915807185
0,38,0.7995524425577993
1,38,0.28170263088776415
2,38,0.30370413815838926
3,38,0.5193554022762372
0,39,0.8399952391358602
1,39,0.7367961415571946
2,39,0.3957804151025992
3,39,0.9093038689079231
0,40,0.47019806407878956
1,40,0.6313165860887638
2,40,0.2404067473833693
3,40,0.023533924126046213
0,41,0.10483865070648826
1,41,0.9942189151690863
2,41,0.36806682963379145
3,41,0.3225652419246732
0,42,0.8841825953199636
1,42,0.7618472355546095
2,42,0.09468760055647046
3,42,0.8586624584861553
0,43,0.41276108469887884
1,43,0.2917147367998767
2,43,0.8762642897913235
3,43,0.7163542679359947
0,44,0.38485852455882796
1,44,0.6490352435144751
2,44,0.7210294710229027
3,44,0.030076921782288046
0,45,0.07505880576912143
1,45,0.6704915235829522
2,45,0.573782665065693
3,45,0.04897158306427385
0,46,0.09958834524525637
1,46,0.17908873075312592
2,46,0.5604863819227923
3,46,0.40601192263953134
0,47,0.7458944199705259
1,47,0.26000653291934384
2,47,0.8269251519181047
3,47,0.7050103990031201
0,48,0.42263460213353166
1,48,0.9410724097178522
2,48,0.42204725991409875
3,48,0.9719835944618791
0,49,0.00840841254031069
1,49,0.41350811222926254
2,49,0.11725078091109342
3,49,0.2154555867967401
0,50,0.42180393708330655
1,50,0.7267832598014314
2,50,0.6520003125081958
3,50,0.1429271960788845
0,51,0.19117345960672016
1,51,0.02495326763731165
2,51,0.24300624591557463
3,51,0.2955733133248185
0,52,0.9773504853071178
1,52,0.08502527535896975
2,52,0.7600582491825834
3,52,0.31864159319275887
0,53,0.2642225994206144
1,53,0.2000592410322416
2,53,6.394432623897384E-4
3,53,0.23518180284494417
0,54,0.17432200827825794
1,54,0.23070437188893633
2,54,0.38632949745029244
3,54,0.7475082509332276
0,55,0.0671616068207867
1,55,0.8983014775386147
2,55,0.28776673946383946
3,55,0.598763561995374
0,56,0.8451612001979287
1,56,0.8614136891910604
2,56,0.0372346161810998
3,56,0.967648679761901
0,57,0.00619078197033513
1,57,0.8011842846300432
2,57,0.5689174704644326
3,57,0.21287535136935953
0,58,0.5618531539552918
1,58,0.0892853665035036
2,58,0.0029902036619045003
3,58,0.2401786403908414
0,59,0.6103228391105844
1,59,0.037840656070945444
2,59,0.7896991555071826
3,59,0.4003764764906017
0,60,0.8796368563922132
1,60,0.3331603376565164
2,60,0.8453340762363373
3,60,0.7788677006958973
0,61,0.49680687917969835
1,61,0.2504902136034851
2,61,0.20086510423998016
3,61,0.40491323348358393
0,62,0.8516720372994251
1,62,0.1741446464514968
2,62,0.6038895484748598
3,62,0.38947060496298147
0,63,0.39984620214620986
1,63,0.09157833663064868
2,63,0.9532907948367468
3,63,0.5594678577642274
0,64,0.3626941424435037
1,64,0.10735537020543995
2,64,0.7226130028986155
3,64,0.06683730459841986
0,65,0.22617960994694136
1,65,0.4890524357317425
2,65,0.12740985307552266
3,65,0.37100471497297427
0,66,0.9674640498272236
1,66,0.7313664837180855
2,66,0.6693492514853836
3,66,0.5400048737717544
0,67,0.29244778720756504
1,67,0.8511991735858084
2,67,0.4743138570469614
3,67,0.45262704692816325
0,68,0.6356339124800013
1,68,0.8010879790952031
2,68,0.5527162185159251
3,68,0.040331035600220444
0,69,0.5283207271596568
1,69,0.23016201048730744
2,69,0.5163046321089458
3,69,0.8835031344759462
0,70,0.2517789346619895
1,70,0.8863283282274559
2,70,0.6554118559426938
3,70,0.8352961273928566
0,71,0.29099391545010883
1,71,0.388719630155965
2,71,0.2940609779121479
3,71,0.5408382789072839
0,72,0.36729771058880384
1,72,0.895796941636704
2,72,0.3114100738279886
3,72,0.3658322606961323
0,73,0.8479839545235098
1,73,0.7070908590361853
2,73,0.356670217468404
3,73,0.9898954281224694
0,74,0.4133572583256933
1,74,0.902836026942432
2,74,0.7184695719261579
3,74,0.3300199538487121
0,75,0.3721793275852053
1,75,0.9580480993259415
2,75,0.2179544358418397
3,75,0.5459936729355168
0,76,0.7198187873494354
1,76,0.7879142636979066
2,76,0.4206848482021479
3,76,0.25206309790333653
0,77,0.4925671025944355
1,77,0.820805919770157
2,77,0.6863679765457131
3,77,0.04998792815546477
0,78,0.0248493373844675
1,78,0.36905389644105224
2,78,0.22192836090978585
3,78,0.6658300501544976
0,79,0.8093504504963664
1,79,0.21245616592146005
2,79,0.6015422668106363
3,79,0.19001782453688287
0,80,0.6816061256652517
1,80,0.9854372321991263
2,80,0.9933522033259133
3,80,0.2456006227692593
0,81,0.34970792203520307
1,81,0.19209501836164333
2,81,0.9039937779310492
3,81,0.619287330816175
0,82,0.6395041730810822
1,82,0.1657805957397297
2,82,0.7736782326439465
3,82,0.7325745129405001
0,83,0.6350948594058153
1,83,0.762143956010076
2,83,0.5847527400285945
3,83,0.8479422866699899
0,84,0.38729660409670835
1,84,0.012130613394089815
2,84,0.19337982811897464
3,84,0.2817252843244798
0,85,0.2859343039202754
1,85,0.28147007012490977
2,85,0.611245842681947
3,85,0.013709584801634422
0,86,0.9716651809694299
1,86,0.47689336482162303
2,86,0.04117608064226186
3,86,0.7937612388840332
0,87,0.9624860718833973
1,87,0.8024043083397734
2,87,0.16295453676568605
3,87,0.7828462567291568
0,88,0.5147229408016478
1,88,0.9518494536747446
2,88,0.042353463023775684
3,88,0.46307244368246403
0,89,0.6685038247084447
1,89,0.16165000306603572
2,89,0.5236031603014129
3,89,0.9233784665504199
0,90,0.9870861633452753
1,90,0.19291680780907017
2,90,0.5579567387524728
3,90,0.8974691194038477
0,91,0.0855874742824138
1,91,0.12183017874792368
2,91,0.22561471841215253
3,91,0.8294226198481325
0,92,0.5942568482459133
1,92,0.7532392021096668
2,92,0.8425962610990572
3,92,0.9645784743445261
0,93,0.38672383661131526
1,93,0.22650519020023308
2,93,0.0925425874739716
3,93,0.5576847337266255
0,94,0.560218321948668
1,94,0.2031437039775481
2,94,0.5263471220237239
3,94,0.4680577283851573
0,95,0.45755358677582647
1,95,0.08653203893918682
2,95,0.6611561587783371
3,95,0.08440182171070565
0,96,0.3617417439116889
1,96,0.9698088537852254
2,96,0.45183480820577415
3,96,0.9046455693823212
0,97,0.6723278705433485
1,97,0.5597231310183981
2,97,0.25115820264155064
3,97,0.2136890102786313
0,98,0.46774458651019857
1,98,0.4794392603872013
2,98,0.11389453144779726
3,98,0.15256609050938486
0,99,0.9048929779087308
1,99,0.5828983424719114
2,99,0.2568505417210786
3,99,0.0033078353670252802
0,100,0.7202812114098368
1,100,0.5057300127343147
2,100,0.7152140315215014
3,100,0.8387698794598453
0,101,0.01965323529804045
1,101,0.90087591348632
2,101,0.8803718318631705
3,101,0.834512022300764
0,102,0.9597754814845998
1,102,0.5200216976843968
2,102,0.8591033105937054
3,102,0.47588276606753643
0,103,0.38434997978223556
1,103,0.3713047688935627
2,103,0.6865105142959611
3,103,0.48503352608535344
0,104,0.19517273155330955
1,104,0.8475990480479003
2,104,0.25977990279550744
3,104,0.7019063882760861
0,105,0.03309185501520618
1,105,0.4317162605674614
2,105,0.23922449071599616
3,105,0.5900715327700117
0,106,0.00300590881511222
1,106,0.09865387208088905
2,106,0.6410260946665258
3,106,0.9704779417063503
0,107,0.3500094961376027
1,107,0.21081444372782632
2,107,0.07620475723924958
3,107,0.27981620177396804
0,108,0.24399716537848193
1,108,0.6077861111218339
2,108,0.9089901399372835
3,108,0.4591389011323672
0,109,0.44664725335562633
1,109,0.9105961883378894
2,109,0.8831176608867812
3,109,0.3100177133721065
0,110,0.044906702261869026
1,110,0.831143752319428
2,110,0.42155996278008223
3,110,0.026839453595174742
0,111,0.5042920169091764
1,111,0.36666331782939465
2,111,0.05724949309000138
3,111,0.4638760873868839
0,112,0.8472851823579073
1,112,0.40287174103394974
2,112,0.8804651892172898
3,112,0.483734653573924
0,113,0.7935346833153101
1,113,0.1082222995080977
2,113,0.5964786175250927
3,113,0.255437985130883
0,114,0.07676787748516274
1,114,0.7804108625655426
2,114,0.2542193481873207
3,114,0.7165831065520902
0,115,0.3792397517876778
1,115,0.598963405420667
2,115,0.15952632389155363
3,115,0.8022567174147932
0,116,0.5699591387294914
1,116,0.19433260407041236
2,116,0.002920225031329271
3,116,0.20464965581821115
0,117,0.3661900044908183
1,117,0.6399222843630434
2,117,0.5339466766595045
3,117,0.15280703013153835
0,118,0.32163650846576813
1,118,0.5238911973005937
2,118,0.19890324634834
3,118,0.7034789363235521
0,119,0.01735824478671863
1,119,0.35723554609075103
2,119,0.11468952133304589
3,119,0.9421026712690477
0,120,0.3411712187223772
1,120,0.571412004647224
2,120,0.8039248952137852
3,120,0.5947676389858141
0,121,0.35578245207311143
1,121,0.6817676070579664
2,121,0.0847007094506741
3,121,0.7123126507906259
0,122,0.3414185889043726
1,122,0.1489629412458684
2,122,0.12977474706265002
3,122,0.8389376697291
0,123,0.9233314359948878
1,123,0.3470838509479013
2,123,0.9379380692070036
3,123,0.6252257578813559
0,124,0.6142282006264368
1,124,0.2616075771102837
2,124,0.44403815538898517
3,124,0.5987940108495967
0,125,0.7072631244732805
1,125,0.3988211371377691
2,125,0.0510958105676641
3,125,0.5955349452497172
0,126,0.7903627753601118
1,126,0.40261624917609673
2,126,0.5965025241188564
3,126,0.08890548775658227
0,127,0.3003800680091726
1,127,0.6721771215864589
2,127,0.1983912018975919
3,127,0.7129002569082754
0,128,0.8299901973411056
1,128,0.7396840002105713
2,128,0.8167441813123864
3,128,0.8131051001023799
0,129,0.9301772827025896
1,129,0.32866864860717904
2,129,0.8875709529571325
3,129,0.7462796297703846
0,130,0.8824390523044536
1,130,0.30065880682458346
2,130,0.6370658796303394
3,130,0.665351041594259
0,131,0.26043841793024125
1,131,0.3405654025446176
2,131,0.4177812719022682
3,131,0.662032459360584
0,132,0.5033775254809677
1,132,0.767083947835151
2,132,0.3490447717016987
3,132,0.28618175048831795
0,133,0.5735538610331048
1,133,0.33564451864155376
2,133,0.557450992098369
3,133,0.6031552332776097
0,134,0.9329242905272979
1,134,0.6271058578751292
2,134,0.8513616133168367
3,134,0.8263507730356239
0,135,0.9907347636590155
1,135,0.911790516254571
2,135,0.3933929787256929
3,135,0.21671572872069472
0,136,0.19434515280264233
1,136,0.06750105852370125
2,136,0.05581122728704968
3,136,0.47925162109666386
0,137,0.3450406397116616
1,137,0.9292225458162892
2,137,0.8473645644362076
3,137,0.5178306003205466
0,138,0.7967829791671751
1,138,0.9340455816413903
2,138,0.8625441904412503
