index_0,sample,entry,value
0,9,1,0.07642423383905322
0,9,2,0.12580986623378343
0,9,3,0.12206296993488903
0,9,4,0.23858344533865003
0,9,5,0.06011994168213616
0,9,6,0.1532269993123897
1,9,0,0.3683129397335707
1,9,1,0.04399680886499785
1,9,2,0.134782139990743
1,9,3,0.08104661231420739
1,9,4,0.2268983160226941
1,9,5,0.02284975129889172
1,9,6,0.12211343177489513
0,10,0,0.24318684314225028
0,10,1,0.0864894355716999
0,10,2,0.08256491733577405
0,10,3,0.206447917815298
0,10,4,0.10729166795885756
0,10,5,0.15176512179974225
0,10,6,0.12225409637637788
1,10,0,0.281156706052341
1,10,1,0.11743101942513667
1,10,2,0.09883027201005681
1,10,3,0.19307434887008057
1,10,4,0.10420926388755664
1,10,5,0.12461540211717748
1,10,6,0.08068298763765078
0,11,0,0.15719233161665394
0,11,1,0.08398761623192519
0,11,2,0.0850434201158911
0,11,3,0.22100142944329276
0,11,4,0.1678980605108626
0,11,5,0.0402645370197429
0,11,6,0.24461260506163138
1,11,0,0.12072881931591656
1,11,1,0.10957848861751635
1,11,2,0.07554463195977457
1,11,3,0.20132842860321248
1,11,4,0.1626771804430534
1,11,5,0.07024664028628398
1,11,6,0.25989581077424256
0,12,0,0.15673052494090184
0,12,1,0.08398761623192519
0,12,2,0.08328838738634506
0,12,3,0.1621489528309629
0,12,4,0.22825759183172753
0,12,5,0.09868237682648752
0,12,6,0.18690454995164985
1,12,0,0.13953597649807112
1,12,1,0.1126510736342776
1,12,2,0.04244361193550358
1,12,3,0.23442944862748347
1,12,4,0.2059110863331865
1,12,5,0.08929186141570661
1,12,6,0.17573694155577102
0,13,0,0.1684343267531538
0,13,1,0.18154697711621923
0,13,2,0.17905578534735647
0,13,3,0.19218616418325032
0,13,4,0.07566651343423311
0,13,5,0.13767433430537518
0,13,6,0.06543589886041168
1,13,0,0.12511753211895066
1,13,1,0.18094489194334373
1,13,2,0.17813280370681073
1,13,3,0.2829851282059212
1,13,4,0.042325075146681046
1,13,5,0.10460473434256626
1,13,6,0.08588983453572646
