index_0,sample,entry,value
1,16,0,0.535174973636573
1,16,1,0.464825026363427
2,16,0,0.6493134190852874
2,16,1,0.3506865809147126
3,16,0,0.4299856587894265
3,16,1,0.5700143412105735
0,17,0,0.631460232872763
0,17,1,0.368539767127237
1,17,0,0.6210298547325943
1,17,1,0.3789701452674057
2,17,0,0.7406772429064116
2,17,1,0.25932275709358843
3,17,0,0.5368946710126452
3,17,1,0.46310532898735485
0,18,0,0.6433768048629546
0,18,1,0.35662319513704543
1,18,0,0.887692817755828
1,18,1,0.11230718224417198
2,18,0,0.42047824299224623
2,18,1,0.5795217570077538
3,18,0,0.7962872809300703
3,18,1,0.20371271906992972
0,19,0,0.5194117427283098
0,19,1,0.4805882572716902
1,19,0,0.5471435579251176
1,19,1,0.45285644207488246
2,19,0,0.7464079555602774
2,19,1,0.2535920444397226
3,19,0,0.7436797557818497
3,19,1,0.25632024421815025
0,20,0,0.3081626499425141
0,20,1,0.6918373500574859
1,20,0,0.3070278039623778
1,20,1,0.6929721960376223
2,20,0,0.23465320261796574
2,20,1,0.7653467973820343
3,20,0,0.1955855703182471
3,20,1,0.8044144296817529
0,21,0,0.3661165882721764
0,21,1,0.6338834117278236
1,21,0,0.37724692191251274
1,21,1,0.6227530780874873
2,21,0,0.49490168337203766
2,21,1,0.5050983166279623
3,21,0,0.4654237607419147
3,21,1,0.5345762392580853
0,22,0,0.1768760658234434
0,22,1,0.8231239341765566
1,22,0,0.29932771139608283
1,22,1,0.7006722886039172
2,22,0,0.31443359974539553
2,22,1,0.6855664002546045
3,22,0,0.37439834682010975
3,22,1,0.6256016531798902
0,23,0,0.791243522928366
0,23,1,0.20875647707163403
1,23,0,0.7224502224995444
1,23,1,0.2775497775004556
2,23,0,0.8103873517471469
2,23,1,0.18961264825285304
3,23,0,0.6172071768894327
3,23,1,0.3827928231105672
0,24,0,0.5118387491384515
0,24,1,0.48816125086154855
1,24,0,0.2826319767625419
1,24,1,0.7173680232374581
2,24,0,0.14215904565090987
2,24,1,0.8578409543490901
3,24,0,0.31027072713783477
3,24,1,0.6897292728621652
0,25,0,0.6472014468872177
0,25,1,0.3527985531127821
1,25,0,0.6189918102721634
1,25,1,0.38100818972783657
2,25,0,0.6353867489538418
2,25,1,0.36461325104615816
3,25,0,0.6589640234121356
3,25,1,0.34103597658786466
0,26,0,0.626645913665433
0,26,1,0.37335408633456685
1,26,0,0.7573009071089533
1,26,1,0.24269909289104652
2,26,0,0.6785312985147536
2,26,1,0.32146870148524637
3,26,0,0.6931400890026465
3,26,1,0.3068599109973536
0,27,0,0.6760782022481162
0,27,1,0.3239217977518838
1,27,0,0.744562335046286
1,27,1,0.255437664953714
2,27,0,0.7890015250449853
2,27,1,0.21099847495501467
3,27,0,0.7731142016765453
3,27,1,0.22688579832345468
0,28,0,0.6598585795157429
0,28,1,0.3401414204842571
1,28,0,0.6928890431136702
1,28,1,0.30711095688632983
2,28,0,0.5942188142959546
2,28,1,0.4057811857040454
3,28,0,0.6767261398187049
3,28,1,0.3232738601812951
0,29,0,0.6607662031223
0,29,1,0.3392337968776999
1,29,0,0.7172934674278613
1,29,1,0.28270653257213874
2,29,0,0.7483666722993949
2,29,1,0.2516333277006051
3,29,0,0.7020320791368461
3,29,1,0.29796792086315393
0,30,0,0.9944793512259662
0,30,1,0.005520648774033798
1,30,0,0.9946837403287535
1,30,1,0.005316259671246501
2,30,0,0.985213082805566
2,30,1,0.014786917194434035
3,30,0,0.9947133569356118
3,30,1,0.005286643064388452
0,31,0,0.9996227085697817
0,31,1,3.7729143021825173E-4
1,31,0,0.9926543368214964
1,31,1,0.007345663178503583
2,31,0,0.993110668221055
2,31,1,0.006889331778945067
3,31,0,0.9984505523760651
3,31,1,0.0015494476239351629
0,32,0,0.9980800765007452
0,32,1,0.0019199234992548497
1,32,0,0.9996132500297299
1,32,1,3.8674997027014893E-4
2,32,0,0.9989009148879361
2,32,1,0.0010990851120639133
3,32,0,0.9968581581312606
3,32,1,0.0031418418687397046
0,33,0,0.9998972813098752
0,33,1,1.0271869012480019E-4
1,33,0,0.9993903131748678
1,33,1,6.096868251321545E-4
2,33,0,0.9997655855497959
